01:14:17 : 07/22/23| the log file is created
-------------------------------------------

01:14:17::4|	ERROR:  Settings::LoadSettingsFromFile() (46): can't open the settings file
01:14:17::5|	DEBUG:  WindowContainer::WindowContainer() (9)
01:14:17::5|	DEBUG:  RenderGraphics::RenderGraphics() (12)
01:14:17::5|	DEBUG:  FrustumClass::FrustumClass() (9)
01:14:17::6|	ERROR:  Log::printError() (178): 
ErrorMsg: there is no such a key: WINDOW_TITLE
File:     c:\users\dima-pc\documents\visual studio 2015\projects\dx11framework\dx11framework\engine\settings.cpp
Function: Settings::CheckSettingKey()
Line:     208


01:14:17::6|	 -------------------------------------------------
01:14:17::6|	             START OF THE DESTROYMENT:            
01:14:17::6|	 -------------------------------------------------
01:14:17::6|	DEBUG:  Engine::~Engine() (32)
01:14:17::7|	DEBUG:  GraphicsClass::~GraphicsClass() (32)
01:14:17::7|	DEBUG:  GraphicsClass::Shutdown() (81)
01:14:17::7|	DEBUG:  FrustumClass::~FrustumClass() (14)
01:14:17::7|	DEBUG:  RenderGraphics::~RenderGraphics() (18)
01:14:17::7|	DEBUG:  FontClass::~FontClass() (23)
01:14:17::7|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::7|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::7|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::7|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::7|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::7|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::7|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::7|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::7|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::9|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::10|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::10|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::11|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::12|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::15|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::16|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::16|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::17|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::18|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::18|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::19|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::19|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::24|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::24|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::26|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::26|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::27|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::29|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::30|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::31|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::32|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::32|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::33|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::33|	DEBUG:  TextClass::~TextClass() (27)
01:14:17::34|	DEBUG:  PixelShader::~PixelShader() (25)
01:14:17::34|	DEBUG:  VertexShader::Shutdown() (74)
01:14:17::35|	DEBUG:  GraphicsClass::Shutdown() (97)
01:14:17::38|	DEBUG:  FpsClass::~FpsClass() (33)
01:14:17::39|	DEBUG:  CpuClass::~CpuClass() (18)
01:14:17::40|	DEBUG:  Timer::~Timer() (17)
01:14:17::40|	DEBUG:  SoundClass::~SoundClass() (21)
01:14:17::41|	DEBUG:  SoundClass::Shutdown() (82)
01:14:17::42|	 Engine::~Engine() (41): the engine is shut down successfully

-------------------------------------------
01:14:17 : 07/22/23| the end of the log file
